case,PrefixLen,Act1,Act2,Act3,Res1,Res2,Res3,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
3707,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,18-29,T,T,1,1
8754,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,30-44,T,F,1,1
3195,3,A08,A12,A11,Online System,HR-pro,HR-dummy,F,F,65+,T,T,0,0
1827,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,F,0,0
9746,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,45-64,T,T,1,1
4031,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,T,T,0,0
2205,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,F,0,1
9163,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,T,F,1,1
8451,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,F,F,0,1
9363,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,F,65+,F,F,0,0
5985,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,F,F,1,1
4447,3,A08,A12,A01,Front Desk,HR-pro,HR-dummy,F,F,65+,T,F,0,0
7724,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,F,T,0,1
522,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,T,1,1
7977,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,0,1
3424,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,65+,T,F,1,1
4776,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,T,0,1
6355,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,T,T,1,1
1530,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,T,0,0
1572,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,30-44,F,T,0,1
7054,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,F,F,1,1
3293,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,1,0
1997,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,65+,F,T,0,1
648,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
7755,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,F,30-44,F,T,0,0
4412,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,T,45-64,T,F,1,1
1005,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,45-64,T,F,1,1
9883,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,F,T,1,0
4784,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,T,30-44,F,T,1,1
771,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,F,T,1,0
2926,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,45-64,F,T,1,1
6983,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,T,0,0
196,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,F,45-64,T,T,1,0
4596,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,T,45-64,F,F,0,0
3337,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,T,T,0,1
4825,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,F,45-64,T,F,0,0
1685,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,F,1,1
988,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
3168,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
8639,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,T,0,1
9413,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,30-44,T,T,1,1
3818,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,F,1,1
6426,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,45-64,T,T,1,0
2608,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,T,F,1,0
4481,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,T,45-64,T,T,1,1
104,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,45-64,F,F,0,1
6762,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
4076,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,F,F,1,1
5064,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,F,F,0,1
4091,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,30-44,T,F,0,0
5608,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,F,45-64,T,T,0,1
8842,3,A08,A12,A01,Front Desk,HR-pro,HR-dummy,F,F,45-64,F,F,0,0
6671,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,65+,T,T,1,0
7250,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,T,0,0
485,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,30-44,T,F,0,1
8377,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,F,0,0
4128,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,F,0,1
5290,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,30-44,F,F,0,1
4938,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,F,45-64,T,T,1,0
7591,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,30-44,F,T,1,1
2813,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,T,0,0
5505,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,F,T,0,1
9977,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,30-44,T,T,0,0
5074,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,0,0
6356,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,30-44,T,F,0,1
7703,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,T,1,1
1209,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,F,F,0,1
1557,3,A08,A12,A03,Online System,HR-pro,HR-pro,T,T,45-64,T,T,0,1
3457,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
5590,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,45-64,T,T,0,0
1252,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,F,30-44,F,T,0,0
5091,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,45-64,T,T,0,1
5856,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,0,1
3519,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,F,F,1,1
2530,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,F,T,1,1
8680,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,F,1,1
5699,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,65+,T,F,0,1
5648,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,30-44,T,T,0,0
1778,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,T,T,1,1
8426,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,F,1,1
7846,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,T,1,0
9158,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,45-64,F,T,0,1
3742,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,T,1,1
7492,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,45-64,T,T,0,1
8330,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,T,0,0
8905,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,65+,F,T,0,1
3645,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,T,45-64,T,T,1,1
4300,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,F,0,0
4742,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,F,F,0,1
8283,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,65+,F,F,0,1
8632,3,A08,A12,A01,Online System,HR-pro,Senior Partner,T,F,30-44,F,T,0,0
8298,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,T,0,1
2954,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,T,F,0,1
4541,3,A08,A12,A01,Online System,HR-pro,HR-dummy,F,F,45-64,T,F,0,0
5997,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,30-44,T,T,0,1
5411,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,45-64,F,F,0,1
1623,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,F,T,1,1
636,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,T,0,0
1278,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,F,1,1
5138,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,1,0
7210,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,0,0
7823,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,F,0,1
4371,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,T,F,0,1
3777,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,45-64,T,T,1,1
8536,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,65+,F,F,0,1
3038,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,30-44,T,F,0,1
5744,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,T,F,45-64,F,T,1,0
3348,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,30-44,T,T,1,1
2383,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,0,0
6598,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,65+,F,F,0,1
8873,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,T,0,1
7143,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,30-44,T,T,1,0
9622,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,18-29,T,F,0,1
1652,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,T,45-64,T,T,0,1
8358,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,F,F,1,1
8904,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,30-44,F,F,1,0
8357,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,65+,T,T,1,1
3139,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,45-64,F,F,1,1
1653,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,F,30-44,T,T,1,1
4365,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,T,T,0,1
5656,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,F,45-64,F,T,0,0
9390,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,F,45-64,F,T,1,1
8907,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,F,F,1,0
5166,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,65+,T,F,1,1
8209,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,30-44,T,T,0,1
2490,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,F,0,0
5675,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,45-64,F,T,0,0
2915,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,T,30-44,F,F,0,1
793,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,F,45-64,F,F,1,1
311,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,F,0,0
1901,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,30-44,T,T,1,1
7754,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
2377,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,65+,F,T,0,1
6278,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,F,F,0,1
3688,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,30-44,F,T,0,1
2981,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,T,T,45-64,T,T,0,0
8980,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,30-44,F,T,1,1
9552,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,65+,T,F,0,1
8987,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,T,0,0
5204,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,45-64,T,T,1,1
9914,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,30-44,T,T,0,1
5407,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,F,45-64,T,F,0,1
1413,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,1,1
8046,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,T,18-29,F,F,0,0
693,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
1802,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,T,0,1
8621,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,45-64,F,T,0,1
9113,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,T,1,1
845,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,F,T,0,0
8982,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,45-64,T,F,0,1
4555,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,T,0,0
6163,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,F,F,65+,T,F,0,0
3299,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,T,0,1
7579,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,1,1
6627,3,A08,A12,A01,Online System,HR-dummy,Senior Partner,T,F,45-64,T,F,0,0
548,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,F,45-64,F,T,0,1
923,3,A08,A12,A01,Front Desk,HR-pro,HR-dummy,F,F,45-64,F,F,0,0
8977,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,F,0,1
6333,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,T,F,0,1
4519,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,T,T,45-64,T,F,1,0
7532,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,F,T,0,1
3041,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,45-64,T,T,1,1
3741,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,1,1
9090,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,45-64,T,T,0,0
2704,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,T,F,1,0
6856,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,T,30-44,T,T,0,0
1939,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,30-44,T,T,0,1
7679,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,30-44,T,T,0,1
759,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,F,F,30-44,T,T,1,0
5806,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
7261,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,0,1
2739,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,65+,F,F,0,1
7302,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,T,T,1,1
4801,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,T,1,1
3284,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,T,0,0
7531,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,F,45-64,T,T,0,0
985,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,30-44,F,T,0,1
6694,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,F,45-64,F,F,0,1
5173,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,T,0,0
8672,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,F,F,1,1
791,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,F,F,1,1
6395,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,65+,F,T,0,1
7490,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,30-44,F,F,0,1
6080,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,0,1
3884,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,F,1,1
1165,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,F,45-64,T,F,0,0
8849,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,0
576,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,65+,T,T,1,1
8285,3,A08,A12,A01,Online System,HR-dummy,HR-dummy,F,F,65+,T,T,0,0
8939,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,F,T,1,1
7071,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
8304,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,T,45-64,T,F,1,1
8449,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,F,45-64,F,T,1,0
2323,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,T,F,1,0
7650,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,65+,F,T,0,0
2655,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,1,1
9330,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,T,0,0
9942,3,A08,A12,A03,Front Desk,HR-pro,HR-pro,F,T,65+,T,F,1,0
4126,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,F,45-64,T,T,1,1
3137,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
8643,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,45-64,T,T,0,1
8995,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,30-44,F,T,0,1
7651,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,0,1
5869,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,1,1
7448,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
9152,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,30-44,T,T,0,1
3229,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,F,F,0,1
6657,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,F,F,1,0
3258,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,65+,F,T,0,1
7684,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,F,T,0,1
8380,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,F,F,0,1
9522,3,A08,A12,A03,Online System,HR-pro,HR-pro,F,T,45-64,T,T,1,1
7364,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,45-64,T,T,0,1
6041,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,F,0,0
1444,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,30-44,F,F,1,0
8626,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,T,T,1,1
1336,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,F,0,1
6729,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,F,45-64,T,T,1,1
4121,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,65+,T,F,0,0
8694,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,F,0,1
8527,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,45-64,T,F,0,1
6081,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,T,0,1
3086,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,F,T,0,1
3310,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,T,45-64,T,F,0,0
1714,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,30-44,T,F,0,1
7394,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,T,F,45-64,T,T,0,0
6526,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,45-64,T,T,0,1
380,3,A08,A12,A01,Online System,HR-dummy,Senior Partner,F,T,30-44,T,T,0,0
2881,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,65+,T,T,0,1
5742,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
1536,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,F,F,1,1
6134,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,30-44,T,T,1,1
3313,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,T,1,1
6811,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,0,1
5526,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,30-44,F,T,1,1
234,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,45-64,T,F,0,1
3622,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,T,45-64,T,T,0,1
1991,3,A08,A12,A01,Front Desk,HR-dummy,HR-dummy,F,T,65+,T,T,0,0
2677,3,A08,A12,A03,Online System,HR-dummy,HR-pro,F,T,65+,T,F,0,1
9981,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,F,T,0,1
535,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,30-44,T,T,0,1
5090,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,30-44,T,T,0,1
4986,3,A08,A12,A01,Online System,HR-pro,HR-dummy,F,F,65+,T,F,0,0
2499,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,T,0,0
5405,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,T,T,1,1
9727,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,F,1,1
3149,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,F,45-64,F,T,0,0
5082,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,T,F,0,0
5828,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,45-64,F,F,1,1
637,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,1,0
4246,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,30-44,T,T,1,1
3800,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,F,65+,F,F,0,0
2965,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
1303,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,F,45-64,F,F,0,0
4587,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,65+,T,F,0,1
157,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,F,45-64,T,T,0,1
204,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,F,30-44,T,T,1,1
7918,3,A08,A12,A03,Front Desk,HR-pro,HR-dummy,T,T,30-44,F,F,0,0
3032,3,A08,A12,A01,Front Desk,HR-dummy,Senior Partner,F,F,45-64,F,F,0,0
4476,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,F,0,1
1043,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,18-29,F,F,0,1
6286,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,T,65+,T,F,1,1
3458,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,F,T,0,1
1748,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,30-44,F,F,1,1
1293,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,30-44,F,T,0,0
6185,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,45-64,T,F,1,1
1494,3,A08,A12,A03,Online System,HR-pro,HR-dummy,T,T,45-64,F,T,1,1
9870,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,T,T,45-64,T,F,0,1
803,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,T,T,0,1
616,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,30-44,T,T,0,1
1945,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,T,45-64,F,T,0,1
3191,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,T,65+,F,T,0,1
5950,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,F,45-64,T,F,1,1
5054,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,F,T,0,1
9061,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,45-64,T,F,0,1
6084,3,A08,A12,A03,Online System,HR-pro,HR-dummy,F,T,45-64,F,F,1,1
406,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,F,30-44,F,T,1,1
2707,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,0,1
8777,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,45-64,T,T,0,1
8306,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,F,F,65+,F,F,0,1
91,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,45-64,T,T,1,0
6368,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,T,30-44,T,T,1,0
3542,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,T,0,1
4966,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,30-44,T,T,0,0
2699,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,T,1,0
2138,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,F,T,30-44,T,F,0,1
2492,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,30-44,T,F,1,1
8633,3,A08,A12,A11,Online System,HR-dummy,HR-dummy,T,T,45-64,T,F,1,1
