case,PrefixLen,Act1,Act2,Act3,Act4,Act5,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
5043,5,A08,A12,A03,A11,A01,F,F,45-64,F,F,0,0
8780,5,A08,A12,A11,A03,A01,T,F,30-44,F,T,0,0
9404,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,0,1
3719,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
3251,5,A08,A12,A03,A11,A01,F,T,45-64,F,F,0,0
9335,5,A08,A12,A11,A03,A01,F,F,30-44,F,T,0,0
9974,5,A08,A12,A11,A03,A05,T,F,30-44,T,T,0,1
9267,5,A08,A12,A03,A11,A06,T,F,30-44,T,T,0,0
6216,5,A08,A12,A03,A11,A05,F,F,30-44,T,F,1,1
3729,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
9906,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,1,1
5592,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
4944,5,A08,A12,A03,A11,A05,F,T,45-64,T,T,0,1
4831,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,0,1
6284,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
7672,5,A08,A12,A03,A11,A06,F,F,45-64,T,T,0,0
3966,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
3324,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,0,1
9275,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,0,1
8359,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,0,1
1677,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
2299,5,A08,A12,A11,A03,A06,F,T,45-64,T,T,1,1
9745,5,A08,A12,A03,A11,A01,F,F,65+,T,F,0,0
3221,5,A08,A12,A03,A11,A06,F,F,45-64,F,T,0,0
7710,5,A08,A12,A11,A03,A01,F,T,30-44,T,F,0,0
7901,5,A08,A12,A11,A03,A01,T,T,45-64,F,T,0,0
5673,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,1,1
4761,5,A08,A12,A11,A03,A05,T,F,30-44,F,F,1,1
9522,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,1,0
8713,5,A08,A12,A11,A03,A05,T,T,65+,F,F,1,1
6641,5,A08,A12,A11,A03,A05,T,F,30-44,T,F,1,1
583,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
1620,5,A08,A12,A03,A11,A01,T,T,45-64,T,F,0,0
4002,5,A08,A12,A11,A03,A06,T,F,45-64,F,F,0,1
8827,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
2882,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
7772,5,A08,A12,A11,A03,A06,F,F,45-64,F,F,1,1
3045,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
689,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
4590,5,A08,A12,A11,A03,A06,F,T,65+,F,T,0,1
3345,5,A08,A12,A11,A03,A01,T,F,30-44,F,T,0,0
7803,5,A08,A12,A03,A11,A06,T,F,45-64,T,T,0,0
326,5,A08,A12,A11,A03,A06,T,F,45-64,F,T,0,1
5489,5,A08,A12,A11,A03,A05,T,F,30-44,F,F,0,1
4144,5,A08,A12,A11,A03,A05,T,F,30-44,F,F,0,1
6134,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,1,1
1043,5,A08,A12,A11,A03,A06,F,T,18-29,F,F,0,1
7847,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,1,1
6175,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
6427,5,A08,A12,A11,A03,A01,T,T,45-64,T,F,0,0
1789,5,A08,A12,A03,A11,A06,F,F,45-64,F,F,0,0
8556,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
768,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
3758,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
5014,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,0,1
2228,5,A08,A12,A03,A11,A06,F,F,45-64,T,T,0,0
5941,5,A08,A12,A11,A03,A06,F,T,45-64,F,T,1,1
4742,5,A08,A12,A11,A03,A01,F,F,45-64,F,F,0,0
7345,5,A08,A12,A11,A03,A01,F,T,30-44,F,F,0,0
2568,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,1,1
4402,5,A08,A12,A03,A11,A06,F,F,30-44,T,T,0,0
5166,5,A08,A12,A11,A03,A05,F,T,65+,T,F,1,1
1559,5,A08,A12,A03,A11,A01,T,T,30-44,T,T,0,0
8026,5,A08,A12,A03,A11,A06,F,T,30-44,T,T,1,0
2404,5,A08,A12,A03,A11,A06,T,T,30-44,T,T,1,0
1308,5,A08,A12,A03,A11,A01,T,T,30-44,T,T,0,0
6294,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
9986,5,A08,A12,A11,A03,A05,F,T,30-44,F,T,1,1
2464,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
8402,5,A08,A12,A03,A11,A06,F,T,45-64,T,F,1,0
1713,5,A08,A12,A11,A03,A05,T,T,30-44,F,T,1,1
1110,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,0,0
962,5,A08,A12,A11,A03,A06,T,F,30-44,T,F,1,1
1406,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4970,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
9285,5,A08,A12,A03,A11,A05,F,F,45-64,F,F,1,1
5482,5,A08,A12,A03,A11,A06,F,F,18-29,T,T,1,0
9689,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
328,5,A08,A12,A11,A03,A06,T,F,65+,F,F,0,1
282,5,A08,A12,A03,A11,A01,F,T,65+,F,T,0,0
514,5,A08,A12,A11,A03,A01,T,T,30-44,T,T,0,0
3364,5,A08,A12,A11,A03,A06,T,F,45-64,F,T,0,1
7749,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
6720,5,A08,A12,A11,A03,A01,F,T,45-64,F,T,0,0
7143,5,A08,A12,A03,A11,A05,T,F,30-44,T,T,1,1
5716,5,A08,A12,A11,A03,A06,F,T,45-64,F,T,0,1
2508,5,A08,A12,A03,A11,A01,T,F,45-64,T,T,0,0
3679,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,0,1
429,5,A08,A12,A03,A11,A05,F,T,65+,F,T,0,1
5584,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
6299,5,A08,A12,A11,A03,A06,F,T,45-64,T,F,0,1
1279,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
5003,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
8718,5,A08,A12,A11,A03,A01,F,T,45-64,F,T,0,0
6871,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,0,1
8143,5,A08,A12,A03,A11,A06,T,F,65+,T,T,1,0
6167,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
2350,5,A08,A12,A11,A03,A01,T,T,30-44,F,F,0,0
6190,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
8996,5,A08,A12,A11,A03,A01,T,F,30-44,F,F,0,0
2868,5,A08,A12,A03,A11,A01,T,T,65+,T,T,0,0
1095,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
5026,5,A08,A12,A03,A11,A01,T,F,30-44,F,F,0,0
7054,5,A08,A12,A03,A11,A05,T,F,45-64,F,F,1,1
1056,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,1,1
2006,5,A08,A12,A03,A11,A05,T,T,30-44,T,F,1,1
6407,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
2930,5,A08,A12,A03,A11,A05,T,F,45-64,T,F,1,1
9560,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,1,1
9613,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,0,1
8433,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
1026,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
542,5,A08,A12,A03,A11,A06,T,T,30-44,F,F,0,0
9774,5,A08,A12,A03,A11,A05,F,F,45-64,T,F,1,1
2069,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
1916,5,A08,A12,A11,A03,A01,T,F,30-44,T,F,0,0
9159,5,A08,A12,A03,A11,A01,T,T,65+,T,F,0,0
4856,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
6503,5,A08,A12,A03,A11,A05,F,T,30-44,F,F,1,1
7027,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,0,1
214,5,A08,A12,A11,A03,A01,T,T,45-64,F,F,0,0
7231,5,A08,A12,A03,A11,A06,T,T,45-64,F,T,0,0
102,5,A08,A12,A11,A03,A01,T,T,30-44,T,T,0,0
5364,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,0,1
919,5,A08,A12,A03,A11,A06,T,T,45-64,F,F,0,0
5577,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
2880,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,1,1
6375,5,A08,A12,A03,A11,A05,F,T,65+,F,T,0,1
4171,5,A08,A12,A03,A11,A05,F,F,45-64,T,F,0,1
9667,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,0,1
5841,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
4429,5,A08,A12,A11,A03,A06,T,F,65+,F,F,0,1
6471,5,A08,A12,A03,A11,A06,F,T,30-44,T,T,1,0
248,5,A08,A12,A11,A03,A01,T,F,65+,F,T,0,0
4492,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
611,5,A08,A12,A11,A03,A05,T,T,45-64,F,F,0,1
59,5,A08,A12,A11,A03,A05,F,F,65+,T,T,1,1
7935,5,A08,A12,A03,A11,A05,F,T,30-44,F,F,1,1
458,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
615,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,1,1
9327,5,A08,A12,A11,A03,A01,F,F,30-44,T,T,0,0
3085,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,1,1
4833,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
4815,5,A08,A12,A11,A03,A05,F,F,45-64,F,F,1,1
5103,5,A08,A12,A11,A03,A05,F,T,45-64,T,F,1,1
7340,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
3049,5,A08,A12,A11,A03,A01,F,T,45-64,F,F,0,0
3819,5,A08,A12,A03,A11,A01,F,T,30-44,F,T,0,0
6756,5,A08,A12,A03,A11,A05,F,F,45-64,F,T,1,1
7651,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,0,1
757,5,A08,A12,A11,A03,A01,F,F,65+,T,T,0,0
1556,5,A08,A12,A11,A03,A06,T,F,30-44,F,T,0,1
237,5,A08,A12,A03,A11,A01,T,T,45-64,F,T,0,0
7753,5,A08,A12,A11,A03,A06,F,F,45-64,F,T,1,1
4208,5,A08,A12,A03,A11,A01,T,F,30-44,F,F,0,0
882,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
2814,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
7842,5,A08,A12,A11,A03,A01,T,F,30-44,T,T,0,0
2923,5,A08,A12,A03,A11,A06,T,F,30-44,T,F,1,0
5407,5,A08,A12,A11,A03,A01,F,F,45-64,T,F,0,0
9283,5,A08,A12,A11,A03,A06,F,T,30-44,F,F,1,1
6502,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
863,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
5083,5,A08,A12,A03,A11,A06,F,F,65+,T,T,1,0
8960,5,A08,A12,A03,A11,A05,F,T,45-64,T,F,1,1
3891,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
3908,5,A08,A12,A03,A11,A05,T,T,30-44,T,F,0,1
6011,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4909,5,A08,A12,A03,A11,A01,T,T,30-44,F,T,0,0
9502,5,A08,A12,A03,A11,A06,T,T,30-44,T,F,0,0
5667,5,A08,A12,A03,A11,A01,F,F,65+,T,F,0,0
8265,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
4604,5,A08,A12,A03,A11,A01,T,F,30-44,T,T,0,0
6379,5,A08,A12,A11,A03,A06,F,T,45-64,T,T,0,1
7401,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
8711,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
5961,5,A08,A12,A03,A11,A01,F,F,45-64,F,T,0,0
3962,5,A08,A12,A11,A03,A05,F,F,45-64,F,F,0,1
6591,5,A08,A12,A11,A03,A06,F,T,30-44,T,T,1,1
3731,5,A08,A12,A11,A03,A05,F,F,30-44,T,T,1,1
5926,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
9585,5,A08,A12,A03,A11,A01,T,F,30-44,T,T,0,0
9152,5,A08,A12,A11,A03,A06,T,T,30-44,T,T,0,1
7593,5,A08,A12,A11,A03,A01,F,T,45-64,F,T,0,0
7117,5,A08,A12,A11,A03,A05,F,T,45-64,F,T,1,1
2851,5,A08,A12,A11,A03,A05,F,F,45-64,T,T,1,1
7251,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
9892,5,A08,A12,A03,A11,A06,F,F,65+,F,T,1,0
941,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
2789,5,A08,A12,A11,A03,A05,F,F,45-64,F,T,0,1
5358,5,A08,A12,A11,A03,A06,T,T,45-64,F,T,0,1
6940,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
4826,5,A08,A12,A11,A03,A05,F,F,45-64,F,T,1,1
1468,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
5239,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,1,1
5144,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,0,1
7995,5,A08,A12,A11,A03,A06,F,T,30-44,T,F,0,1
3273,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
647,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
944,5,A08,A12,A11,A03,A05,F,F,45-64,T,T,0,1
6681,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,1,0
9976,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4274,5,A08,A12,A03,A11,A05,T,T,65+,T,T,0,1
908,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
2036,5,A08,A12,A11,A03,A05,T,T,30-44,F,F,1,1
1349,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
7065,5,A08,A12,A11,A03,A05,F,T,30-44,T,T,1,1
2427,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
6357,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
5713,5,A08,A12,A03,A11,A05,T,T,30-44,T,F,1,1
3920,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,0,1
7885,5,A08,A12,A03,A11,A06,F,F,30-44,T,F,1,0
8636,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,0,1
8848,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
2817,5,A08,A12,A11,A03,A06,F,F,45-64,T,T,0,1
2372,5,A08,A12,A11,A03,A06,T,F,65+,T,F,0,1
5161,5,A08,A12,A03,A11,A05,T,F,45-64,F,T,1,1
3721,5,A08,A12,A11,A03,A05,F,T,65+,T,T,0,1
1915,5,A08,A12,A11,A03,A01,T,F,45-64,F,F,0,0
5870,5,A08,A12,A03,A11,A06,F,F,45-64,F,T,0,0
5054,5,A08,A12,A11,A03,A05,T,F,30-44,F,T,0,1
9074,5,A08,A12,A11,A03,A01,F,F,45-64,F,T,0,0
4904,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
2908,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
5434,5,A08,A12,A11,A03,A06,F,T,45-64,T,T,0,1
5945,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
9680,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
855,5,A08,A12,A11,A03,A01,F,F,45-64,T,F,0,0
8737,5,A08,A12,A11,A03,A01,T,F,30-44,F,T,0,0
4580,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
4388,5,A08,A12,A11,A03,A05,T,F,30-44,T,T,0,1
9007,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
5264,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,0,0
5826,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
8432,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
7172,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,0,1
1322,5,A08,A12,A11,A03,A01,F,T,30-44,T,T,0,0
461,5,A08,A12,A03,A11,A05,T,F,30-44,T,F,1,1
5450,5,A08,A12,A03,A11,A05,F,F,45-64,F,F,0,1
5879,5,A08,A12,A03,A11,A01,T,T,65+,F,F,0,0
2473,5,A08,A12,A03,A11,A05,F,F,30-44,F,T,0,1
3109,5,A08,A12,A03,A11,A05,F,T,45-64,T,T,1,1
4920,5,A08,A12,A03,A11,A06,F,F,65+,F,T,1,0
8178,5,A08,A12,A03,A11,A06,T,T,65+,F,T,0,0
1391,5,A08,A12,A03,A11,A06,F,F,45-64,T,T,0,0
8763,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,1,0
2739,5,A08,A12,A11,A03,A06,F,T,65+,F,F,0,1
3026,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,0,1
4558,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
5153,5,A08,A12,A11,A03,A06,T,T,45-64,T,F,0,1
352,5,A08,A12,A03,A11,A06,F,T,45-64,F,T,0,0
9107,5,A08,A12,A11,A03,A06,F,F,45-64,F,T,0,1
3968,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
1734,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,0,0
13,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,0,1
1745,5,A08,A12,A11,A03,A01,T,T,30-44,T,F,0,0
7125,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
5440,5,A08,A12,A11,A03,A05,F,F,45-64,T,T,1,1
2690,5,A08,A12,A03,A11,A05,F,F,65+,F,F,1,1
4212,5,A08,A12,A03,A11,A01,F,T,65+,F,F,0,0
4869,5,A08,A12,A11,A03,A01,F,F,45-64,F,F,0,0
6387,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
2870,5,A08,A12,A11,A03,A01,T,F,65+,F,T,0,0
7667,5,A08,A12,A11,A03,A06,F,F,45-64,T,F,1,1
1333,5,A08,A12,A11,A03,A01,T,F,45-64,T,T,0,0
7954,5,A08,A12,A11,A03,A01,F,F,18-29,T,T,0,0
1303,5,A08,A12,A11,A03,A05,F,F,45-64,F,F,0,1
9042,5,A08,A12,A11,A03,A01,F,F,30-44,T,F,0,0
8456,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,1,0
3408,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
8998,5,A08,A12,A03,A11,A05,T,F,45-64,F,F,0,1
3182,5,A08,A12,A11,A03,A06,T,T,45-64,F,F,1,1
6786,5,A08,A12,A11,A03,A05,T,F,65+,T,T,0,1
2441,5,A08,A12,A11,A03,A01,T,F,30-44,T,T,0,0
4851,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,1,1
6905,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,0,1
6725,5,A08,A12,A03,A11,A01,F,T,30-44,F,T,0,0
1009,5,A08,A12,A03,A11,A05,F,T,30-44,T,F,1,1
3136,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,1,1
7952,5,A08,A12,A03,A11,A06,T,T,30-44,F,T,1,0
1396,5,A08,A12,A03,A11,A01,F,T,30-44,T,F,0,0
8935,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,0,0
9204,5,A08,A12,A03,A11,A05,T,T,45-64,T,F,1,1
4589,5,A08,A12,A11,A03,A01,F,T,45-64,F,T,0,0
1448,5,A08,A12,A11,A03,A01,F,T,45-64,T,T,0,0
1667,5,A08,A12,A03,A11,A01,F,F,30-44,F,T,0,0
393,5,A08,A12,A03,A11,A05,T,F,45-64,T,F,0,1
9171,5,A08,A12,A03,A11,A01,T,F,30-44,T,F,0,0
5665,5,A08,A12,A11,A03,A05,F,T,65+,F,F,0,1
2947,5,A08,A12,A11,A03,A01,T,T,45-64,F,T,0,0
3427,5,A08,A12,A11,A03,A06,T,T,30-44,T,T,0,1
4065,5,A08,A12,A03,A11,A01,T,T,45-64,T,T,0,0
7904,5,A08,A12,A11,A03,A05,T,T,30-44,F,F,1,1
8949,5,A08,A12,A11,A03,A01,T,T,65+,F,F,0,0
2653,5,A08,A12,A03,A11,A01,F,F,45-64,F,F,0,0
7857,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4222,5,A08,A12,A11,A03,A01,T,F,45-64,F,F,0,0
6441,5,A08,A12,A03,A11,A01,T,F,65+,T,T,0,0
2014,5,A08,A12,A03,A11,A01,F,T,45-64,F,T,0,0
1106,5,A08,A12,A03,A11,A01,F,T,45-64,T,F,0,0
942,5,A08,A12,A03,A11,A06,T,T,30-44,T,T,1,0
8579,5,A08,A12,A03,A11,A06,F,F,65+,F,F,0,0
585,5,A08,A12,A03,A11,A05,F,T,45-64,F,T,1,1
5772,5,A08,A12,A03,A11,A01,T,T,45-64,F,T,0,0
2685,5,A08,A12,A11,A03,A06,F,T,65+,T,T,0,1
8755,5,A08,A12,A03,A11,A05,F,T,30-44,T,T,1,1
4813,5,A08,A12,A11,A03,A05,T,T,45-64,T,F,1,1
8604,5,A08,A12,A03,A11,A06,T,F,45-64,F,T,0,0
3037,5,A08,A12,A11,A03,A05,F,F,30-44,T,F,1,1
2066,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,1,1
5565,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
8744,5,A08,A12,A03,A11,A06,F,F,65+,F,T,0,0
65,5,A08,A12,A11,A03,A05,T,T,30-44,T,F,1,1
202,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,1,1
6900,5,A08,A12,A03,A11,A06,T,T,30-44,F,T,0,0
4785,5,A08,A12,A03,A11,A05,T,T,30-44,T,T,1,1
1710,5,A08,A12,A03,A11,A06,T,T,30-44,T,T,1,0
4623,5,A08,A12,A03,A11,A01,F,T,30-44,T,T,0,0
3860,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
9532,5,A08,A12,A11,A03,A05,T,T,30-44,T,T,1,1
8754,5,A08,A12,A03,A11,A05,F,F,30-44,T,F,1,1
7743,5,A08,A12,A03,A11,A05,F,T,30-44,T,T,1,1
6707,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
5036,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,0,0
7105,5,A08,A12,A11,A03,A06,T,T,45-64,T,F,0,1
6549,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
987,5,A08,A12,A11,A03,A06,T,T,45-64,T,T,0,1
7587,5,A08,A12,A03,A11,A06,T,F,30-44,F,T,0,0
8870,5,A08,A12,A03,A11,A05,F,T,30-44,T,F,0,1
7211,5,A08,A12,A03,A11,A06,F,T,45-64,F,T,0,0
5259,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
8223,5,A08,A12,A11,A03,A01,T,T,30-44,F,F,0,0
2872,5,A08,A12,A11,A03,A01,T,F,30-44,T,T,0,0
211,5,A08,A12,A03,A11,A05,T,F,45-64,T,T,0,1
873,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
2241,5,A08,A12,A11,A03,A06,T,T,65+,F,T,0,1
2016,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,0,0
8687,5,A08,A12,A03,A11,A01,T,F,45-64,F,T,0,0
9523,5,A08,A12,A11,A03,A05,T,T,30-44,F,F,1,1
3907,5,A08,A12,A11,A03,A06,F,F,45-64,F,T,0,1
2752,5,A08,A12,A11,A03,A01,T,T,65+,T,T,0,0
8826,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
8159,5,A08,A12,A03,A11,A06,F,T,45-64,F,T,0,0
386,5,A08,A12,A11,A03,A05,T,F,45-64,T,T,1,1
5695,5,A08,A12,A03,A11,A05,F,T,45-64,T,T,0,1
1597,5,A08,A12,A03,A11,A06,F,F,65+,F,F,0,0
6966,5,A08,A12,A03,A11,A05,F,T,30-44,T,T,0,1
9993,5,A08,A12,A11,A03,A06,F,T,30-44,T,F,0,1
935,5,A08,A12,A03,A11,A05,F,F,45-64,T,T,1,1
9712,5,A08,A12,A11,A03,A06,T,F,30-44,T,F,0,1
613,5,A08,A12,A11,A03,A05,F,T,45-64,T,T,0,1
6310,5,A08,A12,A03,A11,A01,F,T,45-64,T,T,0,0
5899,5,A08,A12,A03,A11,A06,F,F,65+,F,F,0,0
2927,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
4442,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
5539,5,A08,A12,A03,A11,A05,T,T,45-64,F,F,1,1
8230,5,A08,A12,A03,A11,A05,T,F,30-44,F,F,0,1
5953,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
5110,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
6614,5,A08,A12,A11,A03,A06,F,T,30-44,T,F,1,1
3670,5,A08,A12,A11,A03,A05,F,T,45-64,F,F,1,1
7135,5,A08,A12,A11,A03,A05,F,F,45-64,T,T,1,1
7267,5,A08,A12,A03,A11,A01,F,F,45-64,T,F,0,0
930,5,A08,A12,A03,A11,A05,F,T,30-44,F,F,1,1
9410,5,A08,A12,A11,A03,A05,T,T,30-44,T,F,1,1
2824,5,A08,A12,A03,A11,A01,T,F,45-64,T,T,0,0
5793,5,A08,A12,A11,A03,A01,T,T,18-29,T,T,0,0
564,5,A08,A12,A11,A03,A06,T,F,45-64,T,T,1,1
4117,5,A08,A12,A11,A03,A05,T,F,45-64,F,T,1,1
4949,5,A08,A12,A03,A11,A01,T,T,30-44,F,T,0,0
1058,5,A08,A12,A11,A03,A01,T,T,45-64,T,T,0,0
2928,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
6410,5,A08,A12,A11,A03,A01,F,T,45-64,T,F,0,0
4972,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
8642,5,A08,A12,A03,A11,A06,T,T,45-64,F,F,1,0
7671,5,A08,A12,A03,A11,A01,F,F,45-64,T,T,0,0
4313,5,A08,A12,A03,A11,A06,T,F,45-64,T,F,0,0
1500,5,A08,A12,A11,A03,A01,T,T,65+,T,F,0,0
6671,5,A08,A12,A11,A03,A05,F,T,65+,T,T,1,1
3297,5,A08,A12,A11,A03,A06,F,F,65+,F,T,0,1
840,5,A08,A12,A11,A03,A05,T,F,45-64,T,F,1,1
8147,5,A08,A12,A03,A11,A01,F,T,45-64,T,F,0,0
2135,5,A08,A12,A11,A03,A05,T,T,30-44,F,F,0,1
7541,5,A08,A12,A03,A11,A05,F,F,30-44,F,F,1,1
9855,5,A08,A12,A11,A03,A06,T,T,45-64,F,F,0,1
6942,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
7290,5,A08,A12,A03,A11,A01,T,F,45-64,F,F,0,0
1943,5,A08,A12,A11,A03,A01,F,F,30-44,F,T,0,0
5731,5,A08,A12,A03,A11,A06,T,F,65+,F,F,0,0
